Encoding Date,Form Number,Name,Barangay,Zoning_Code,Lot_Area_sqm,Application Type,Purpose,Assessment Fee
2021-01-04,U-822901,Southern Luzon Enterprises,Bulihan,,,Zoning Certificate,Business Permit Requirement,336.02
2021-01-04,U-798202,Angel Mendoza,Itlugan,,,Zoning Certificate,Residential Construction,396.01
2021-01-04,U-138307,David Ramos,Alupay,AgIndZ-PTR,7404.27,Zoning Certificate,Subdivision Phase 1,425.31
2021-01-05,U-446213,Sofia Perez,Putingkahoy,,,Zoning Certificate,Land Title Verification,354.88
2021-01-05,U-591652,Victoria Ramos,Nasi,,,Zoning Certificate,Farm Development Permit,477.06
2021-01-05,U-800771,Agri-Ventures Logistics Inc.,Putingkahoy,,,Zoning Certificate,Farm Development Permit,366.47
2021-01-05,U-433224,Agri-Ventures Enterprises,Santa Cruz,,,Zoning Certificate,Subdivision Phase 1,431.34
2021-01-05,U-787646,Agri-Ventures Logistics Inc.,Namunga,BR2-SZ,84.76,Zoning Certificate,Bank Financing Requirement,483.38
2021-01-05,U-300282,Maria Perez,Bayawang,AgIndZ-PGR,7077.53,Zoning Certificate,Bank Financing Requirement,426.43
2021-01-06,U-581968,Daniel Santos,Namuco,AgIndZ,2813.31,Locational Clearance,Environmental Compliance,11092.86
2021-01-06,U-111480,Grace Cruz,Santa Cruz,,,Zoning Certificate,Residential Construction,275.11
2021-01-06,U-878315,Rosario Logistics Inc.,San Isidro,,,Zoning Certificate,Residential Construction,337.22
2021-01-06,U-223850,Southern Luzon Realty & Development,Mavalor,R2-Z,166.18,Zoning Certificate,Residential Construction,462.86
2021-01-06,U-835931,Batangas Gold Commercial Center,Baybayin,R2-Z,248.89,Zoning Certificate,Bank Financing Requirement,262.27
2021-01-06,U-845753,Prime Realty & Development,Namunga,T-Z,5456.51,Zoning Certificate,Facility/Structure Construction,323.35
2021-01-06,U-534387,Daniel Ramos,Marilag,AgIndZ,6215.05,Zoning Certificate,Industrial Park Expansion,308.3
2021-01-07,U-933107,Jose Alday,Namuco,PDA-SZ,6719.39,Locational Clearance,Agribusiness Construction,12008.97
2021-01-07,U-362882,Agri-Ventures Trading Corp.,Masaya,R2-Z,131.3,Locational Clearance,Subdivision Phase 1,15591.04
2021-01-07,U-450750,Angel Ramos,Leviste,R2-Z,112.84,Zoning Certificate,Bank Financing Requirement,476.61
2021-01-07,U-889630,Rosario Holdings Inc.,Namuco,AgIndZ-PGR,2167.17,Zoning Certificate,Subdivision Phase 1,307.13
2021-01-07,U-467993,Emmanuel Bautista,Bagong Pook,BR2-SZ,130.4,Zoning Certificate,Bank Financing Requirement,275.89
2021-01-08,U-544907,Antonio Comia,Namuco,CMRF,902.5,Locational Clearance,General Property Clearance,8110.15
2021-01-08,U-307552,Rosario Enterprises,Macalamcam A,R1-Z,139.37,Locational Clearance,Residential Construction,6344.22
2021-01-08,U-693893,Emmanuel Perez,Putingkahoy,,,Zoning Certificate,Commercial Complex Development,383.92
2021-01-08,U-892026,Batangas Gold Trading Corp.,Matamis,R1-Z,133.54,Zoning Certificate,Subdivision Phase 1,264.33
2021-01-11,U-541291,Luzon Integrated Logistics Inc.,Itlugan,R1-Z,149.1,Development Permit,Residential Construction,47858.95
2021-01-11,U-562766,Luzon Integrated Realty & Development,Namuco,I1-Z,3519.75,Locational Clearance,Environmental Compliance,13611.97
2021-01-11,U-311810,Daniel Garcia,Quilib,R1-Z,148.26,Locational Clearance,Bank Financing Requirement,3571.17
2021-01-11,U-633023,Victoria Perez,Balibago,,,Zoning Certificate,Subdivision Phase 1,425.58
2021-01-11,U-765636,Luz Mercado,Poblacion B,,,Zoning Certificate,Business Permit Requirement,282.96
2021-01-11,U-313546,Victoria Lopez,San Isidro,R1-Z,244.88,Zoning Certificate,Residential Construction,449.36
2021-01-11,U-592052,Juan Santos,San Roque,R1-Z,192.44,Zoning Certificate,Bank Financing Requirement,479.33
2021-01-11,U-819311,Chloe Cruz,San Isidro,PDA-SZ,3942.42,Zoning Certificate,Land Title Verification,365.15
2021-01-11,U-646168,Sofia Fernandez,San Roque,R1-Z,297.23,Zoning Certificate,Subdivision Phase 1,469.63
2021-01-12,U-248971,Emmanuel Mendoza,Mabunga,R1-Z,249.8,Locational Clearance,Subdivision Phase 1,7757.96
2021-01-12,U-243971,Southern Luzon Trading Corp.,Santa Cruz,R2-Z,205.28,Locational Clearance,Residential Construction,21897.25
2021-01-12,U-493708,Prime Farms Corp.,Poblacion A,C2-Z,784.49,Zoning Certificate,Business Permit Requirement,496.46
2021-01-12,U-488557,Benjamin Cruz,San Isidro,R1-Z,275.81,Zoning Certificate,Residential Construction,386.77
2021-01-12,U-679335,Jose Macalalad,Leviste,R2-Z,166.6,Zoning Certificate,Residential Construction,447.63
2021-01-12,U-087850,Agri-Ventures Logistics Inc.,Tulos,PDA-SZ,13496.39,Zoning Certificate,Land Title Verification,449.8
2021-01-12,U-760720,Batangas Realty & Development,Calantas,FZ,11277.21,Zoning Certificate,Facility/Structure Construction,484.7
2021-01-12,U-505567,Teresa Fernandez,Quilib,R2-Z,206.98,Zoning Certificate,Residential Construction,466.61
2021-01-13,U-126682,Corazon Macalalad,Santa Cruz,R1-Z,283.36,Zoning Certificate,Subdivision Phase 1,288.22
2021-01-13,U-063950,Teresa Reyes,Baybayin,R1-Z,217.98,Zoning Certificate,Bank Financing Requirement,382.28
2021-01-13,U-049398,Grace Torres,Quilib,R2-Z,176.39,Zoning Certificate,Bank Financing Requirement,397.81
2021-01-13,U-813681,Mark Gonzales,Masaya,R1-Z,312.95,Zoning Certificate,Residential Construction,364.72
2021-01-13,U-221531,Rosario Farms Corp.,Santa Cruz,BR2-SZ,170.33,Zoning Certificate,Subdivision Phase 1,361.74
2021-01-14,U-812806,Sofia Garcia,Poblacion B,C1-Z,152.26,Locational Clearance,Business Permit Requirement,20193.91
2021-01-14,U-351759,Rosario Farms Corp.,Nasi,R2-Z,162.59,Zoning Certificate,Bank Financing Requirement,359.71
2021-01-14,U-015209,Angel Garcia,Namuco,I1-Z,4143.59,Zoning Certificate,Warehouse/Factory Construction,418.28
2021-01-14,U-827899,Maria Torres,Baybayin,R1-Z,274.49,Zoning Certificate,Residential Construction,283.25
2021-01-15,U-593403,Batangas Gold Commercial Center,Mabunga,R2-Z,130.71,Development Permit,Subdivision Phase 1,70942.51
2021-01-15,U-826416,Corazon Ramos,Balibago,R1-Z,213.43,Locational Clearance,Residential Construction,13028.79
2021-01-15,U-396754,Southern Luzon Farms Corp.,Pinagsibaan,,,Zoning Certificate,General Property Clearance,415.42
2021-01-15,U-677761,Maria Mendoza,Poblacion A,R1-Z,341.55,Zoning Certificate,Subdivision Phase 1,279.03
2021-01-15,U-862113,Batangas Realty & Development,Bagong Pook,BR2-SZ,126.4,Zoning Certificate,Subdivision Phase 1,304.69
2021-01-15,U-390773,Benjamin Torres,Balibago,R1-Z,190.16,Zoning Certificate,Residential Construction,326.52
2021-01-18,U-335835,Christian Alday,Bagong Pook,R2-Z,155.22,Locational Clearance,Subdivision Phase 1,11205.15
2021-01-18,U-929368,Prime Holdings Inc.,Namuco,I1-Z,2269.39,Locational Clearance,Industrial Park Expansion,15788.27
2021-01-18,U-732366,Mark Santos,Cahigam,C1-Z,165.49,Zoning Certificate,Business Permit Requirement,363.41
2021-01-18,U-061972,Batangas Gold Holdings Inc.,Bagong Pook,C1-Z,487.74,Zoning Certificate,Commercial Complex Development,428.37
2021-01-19,U-379065,Grace Sanchez,Quilib,,,Zoning Certificate,Residential Construction,380.02
2021-01-19,U-576542,David Fernandez,Namuco,,,Zoning Certificate,Warehouse/Factory Construction,321.64
2021-01-19,U-819726,Prime Enterprises,Tulos,THSP-SZ,7952.34,Zoning Certificate,Facility/Structure Construction,354.21
2021-01-19,U-790681,Maria Dimaculangan,Namuco,I2-Z,3871.58,Zoning Certificate,Environmental Compliance,453.11
2021-01-20,U-974803,Angel Santos,Alupay,I1-Z,4245.25,Locational Clearance,Industrial Park Expansion,15228.02
2021-01-20,U-606358,Benjamin Dimaculangan,Alupay,I1-Z,3246.63,Locational Clearance,Industrial Park Expansion,19272.05
2021-01-20,U-256921,Emmanuel Lopez,Calantas,,,Zoning Certificate,General Property Clearance,352.86
2021-01-20,U-044018,Danilo Bautista,Alupay,,,Zoning Certificate,General Property Clearance,308.36
2021-01-20,U-001195,Teresa Mendoza,Balibago,PTA-SZ-RA,16233.43,Zoning Certificate,Residential Construction,387.36
2021-01-20,U-128467,Luz Lopez,San Isidro,R2-Z,181.86,Zoning Certificate,Residential Construction,448.88
2021-01-22,U-382226,Daniel Mercado,Tulos,PTA-SZ-RA,6825.68,Locational Clearance,Residential Construction,19337.42
2021-01-22,U-000313,Jose Comia,Balibago,R2-Z,190.47,Locational Clearance,Residential Construction,17473.25
2021-01-22,U-463418,Luz Mercado,Tulos,,,Zoning Certificate,Land Title Verification,352.8
2021-01-22,U-823668,Maria Comia,Bagong Pook,R2-Z,242.79,Zoning Certificate,Residential Construction,259.81
2021-01-22,U-687455,Benjamin Sanchez,San Roque,BR2-SZ,169.69,Zoning Certificate,Residential Construction,282.53
2021-01-22,U-843176,Mark Gonzales,Balibago,R1-Z,156.64,Zoning Certificate,Residential Construction,315.87
2021-01-25,U-470525,David Sanchez,Namuco,UTS-Z,967.22,Locational Clearance,Site Development Permit,4226.31
2021-01-25,U-102334,Victoria Ramos,Namuco,I1-Z,1576.27,Locational Clearance,Environmental Compliance,7579.44
2021-01-25,U-314115,Corazon Garcia,Mavalor,,,Zoning Certificate,Bank Financing Requirement,351.6
2021-01-25,U-074408,Angel Perez,Pinagsibaan,,,Zoning Certificate,Bank Financing Requirement,386.46
2021-01-25,U-914325,Benjamin Macalalad,Macalamcam A,,,Zoning Certificate,Residential Construction,273.61
2021-01-25,U-284800,Southern Luzon Farms Corp.,Bulihan,R2-Z,207.5,Zoning Certificate,Bank Financing Requirement,416.83
2021-01-26,U-278223,Danilo Torres,Pinagsibaan,CMRF,784.48,Locational Clearance,Site Development Permit,10042.81
2021-01-26,U-470190,David Lopez,Pinagsibaan,PDA-SZ,5039.46,Locational Clearance,Land Title Verification,14042.96
2021-01-26,U-116234,Agri-Ventures Farms Corp.,Bayawang,,,Zoning Certificate,Environmental Compliance,478.31
2021-01-26,U-767172,Victoria Macalalad,Santa Cruz,,,Zoning Certificate,Residential Construction,307.49
2021-01-26,U-109949,Batangas Gold Holdings Inc.,Itlugan,R1-Z,224.44,Zoning Certificate,Subdivision Phase 1,382.91
2021-01-26,U-611858,David Santos,Cahigam,R2-Z,85.14,Zoning Certificate,Bank Financing Requirement,446.12
2021-01-27,U-592318,Chloe Rodriguez,San Carlos,UTS-Z,1778.11,Locational Clearance,Site Development Permit,15838.56
2021-01-27,U-831144,Angel Rodriguez,Poblacion E,,,Zoning Certificate,Residential Construction,285.82
2021-01-27,U-372595,Antonio Lopez,Alupay,,,Zoning Certificate,Environmental Compliance,324.2
2021-01-27,U-479228,Benjamin Cruz,Calantas,FZ,29486.15,Zoning Certificate,General Property Clearance,351.44
2021-01-27,U-910879,Daniel Alday,Namuco,I1-Z,1522.09,Zoning Certificate,Warehouse/Factory Construction,372.63
2021-01-27,U-043085,Sofia Mendoza,Mabato,PDA-SZ,6699.9,Zoning Certificate,Farm Development Permit,428.81
2021-01-27,U-337036,Daniel Dimaculangan,Bayawang,I1-Z,4846.28,Zoning Certificate,Industrial Park Expansion,306.48
2021-01-28,U-363193,Teresa Torres,Quilib,,,Zoning Certificate,Bank Financing Requirement,316.31
2021-01-28,U-917577,Teresa Reyes,Palakpak,PTA-SZ-RA,9979.48,Zoning Certificate,Residential Construction,289.74
2021-01-28,U-463747,Luzon Integrated Holdings Inc.,Bagong Pook,R1-Z,341.62,Zoning Certificate,Subdivision Phase 1,385.08
2021-01-29,U-998224,Jose Fernandez,Pinagsibaan,AgIndZ-PGR,6470.75,Locational Clearance,Bank Financing Requirement,6379.99
2021-01-29,U-743800,Agri-Ventures Trading Corp.,Namuco,,,Zoning Certificate,Site Development Permit,267.5
2021-01-29,U-381001,Luzon Integrated Enterprises,Balibago,R1-Z,264.1,Zoning Certificate,Residential Construction,339.27
2021-02-01,U-168256,Jose Mendoza,Matamis,R1-Z,229.58,Locational Clearance,Bank Financing Requirement,6774.66
2021-02-01,U-310884,Antonio Macalalad,Santa Cruz,,,Zoning Certificate,General Property Clearance,426.37
2021-02-01,U-811357,Corazon Garcia,Quilib,,,Zoning Certificate,Residential Construction,390.11
2021-02-01,U-222660,Luzon Integrated Realty & Development,Palakpak,R1-Z,281.07,Zoning Certificate,Subdivision Phase 1,318.18
2021-02-01,U-358085,Danilo Garcia,San Roque,R2-Z,200.91,Zoning Certificate,Residential Construction,332.48
2021-02-01,U-503343,Benjamin Santos,Colongan,C1-Z,354.76,Zoning Certificate,Business Permit Requirement,312.22
2021-02-01,U-414115,Batangas Gold Trading Corp.,Namunga,GI-Z,3128.03,Zoning Certificate,Industrial Park Expansion,383.44
2021-02-01,U-030382,Corazon Macalalad,Quilib,BR2-SZ,151.56,Zoning Certificate,Bank Financing Requirement,397.71
2021-02-02,U-335556,Luzon Integrated Logistics Inc.,San Carlos,I1-Z,3830.54,Development Permit,Industrial Park Expansion,36915.24
2021-02-02,U-549626,Daniel Dimaculangan,Natu,R2-Z,198.93,Locational Clearance,Residential Construction,14713.66
2021-02-02,U-129104,Luz Dimaculangan,San Roque,C1-Z,381.01,Locational Clearance,Commercial Building Construction,21569.53
2021-02-02,U-149374,Juan Rodriguez,Marilag,PDA-SZ,6006.1,Locational Clearance,Land Title Verification,11954.52
2021-02-02,U-354682,Jose Sanchez,Tulos,ECT-Z,5679.38,Zoning Certificate,Commercial Building Construction,496.72
2021-02-03,U-342699,Grace Alday,Bayawang,,,Zoning Certificate,Residential Construction,400.05
2021-02-03,U-055484,Antonio Garcia,Macalamcam A,R1-Z,130.39,Zoning Certificate,Bank Financing Requirement,275.12
2021-02-04,U-716721,Batangas Gold Commercial Center,Tulos,PDA-SZ,12834.59,Locational Clearance,Farm Development Permit,20165.56
2021-02-04,U-160516,Agri-Ventures Holdings Inc.,Palakpak,,,Zoning Certificate,Bank Financing Requirement,470.8
